id=8749, x=1.74, y=157.71 for query 151
id=12084, x=6.79, y=86.0 for query 152
id=111624, x=26.73, y=155.93 for query 153
id=148380, x=11.89, y=134.08 for query 154
id=61371, x=9.23, y=122.98 for query 155
id=148066, x=82.34, y=135.0 for query 156
id=42761, x=76.36, y=120.45 for query 157
id=48695, x=72.97, y=116.06 for query 158
id=911, x=25.99, y=93.27 for query 159
id=96266, x=79.09, y=125.85 for query 160
id=20236, x=79.3, y=105.71 for query 161
id=128663, x=30.75, y=110.76 for query 162
id=126057, x=78.92, y=133.36 for query 163
id=44175, x=79.97, y=79.86 for query 164
id=129769, x=56.15, y=92.72 for query 165
id=14226, x=4.14, y=90.38 for query 166
id=99096, x=16.83, y=83.44 for query 167
id=33881, x=53.41, y=145.59 for query 168
id=14316, x=4.19, y=139.18 for query 169
id=20091, x=64.87, y=115.64 for query 170
id=80060, x=88.05, y=128.67 for query 171
id=87712, x=18.42, y=146.37 for query 172
id=53297, x=31.71, y=123.01 for query 173
id=91523, x=87.87, y=89.75 for query 174
id=37457, x=27.59, y=149.41 for query 175
id=136401, x=58.63, y=117.6 for query 176
id=133784, x=79.02, y=156.55 for query 177
id=102142, x=49.77, y=88.17 for query 178
id=84921, x=27.7, y=110.91 for query 179
id=40518, x=81.71, y=159.98 for query 180
id=149886, x=45.66, y=125.14 for query 181
id=121437, x=2.86, y=87.71 for query 182
id=147221, x=17.37, y=114.02 for query 183
id=50861, x=30.5, y=119.47 for query 184
id=132434, x=30.78, y=100.19 for query 185
id=33881, x=53.41, y=145.59 for query 186
id=47786, x=36.0, y=157.28 for query 187
id=36331, x=87.97, y=105.96 for query 188
id=54427, x=36.95, y=139.02 for query 189
id=93955, x=21.16, y=110.44 for query 190
id=107417, x=33.77, y=92.14 for query 191
id=21639, x=31.34, y=125.65 for query 192
id=121946, x=34.38, y=102.97 for query 193
id=1973, x=40.56, y=119.23 for query 194
id=134501, x=67.12, y=83.12 for query 195
id=110122, x=28.32, y=151.36 for query 196
id=15774, x=29.58, y=82.75 for query 197
id=85842, x=9.43, y=90.4 for query 198
id=14605, x=16.54, y=152.4 for query 199
id=90418, x=42.8, y=139.05 for query 200
Total running time: 0.02 seconds
Average time per query: 0.0001 seconds
